Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Std_13,Std_14,Std_15,Std_16,Std_17,Std_18,Std_19,Std_20,Std_21,Std_22,Std_23,Std_24,Std_25,Std_26,Std_27,Std_28,Std_29,Std_30
0.08940284,0.08059653,0.05964035,0.06445229,0.0720952,0.06926419,0.0635263,0.06274408,0.06715672,0.0745705,0.06354688,0.06770626,0.07849325,0.07927462,0.06007274,0.05066884,0.02617431,0.05597439,0.06085962,0.08989269,0.07116331,0.07976162,0.07967579,0.07195503,0.08002965,0.07703337,0.08864524,0.03180168,0.03864186,0.04568359
0.08735058,0.07877787,0.05801666,0.06281053,0.07036671,0.06780125,0.06191725,0.0608784,0.0653773,0.07269208,0.06190686,0.06628449,0.0767197,0.07769235,0.05849509,0.04947411,0.02518401,0.05460673,0.05947997,0.08808743,0.06947861,0.07818334,0.07797283,0.07032511,0.07829423,0.07536619,0.08665527,0.03069729,0.03767008,0.04435593
0.08531085,0.07698237,0.05638915,0.06115596,0.06869704,0.06636057,0.06032242,0.05903601,0.06361352,0.07082611,0.06028237,0.06486921,0.07495332,0.07611337,0.05692443,0.04829087,0.02421528,0.05325473,0.05812557,0.08629778,0.06778459,0.07662924,0.07626612,0.0687151,0.07656583,0.07370422,0.0846689,0.02961192,0.03669913,0.04302794
0.08327955,0.07521321,0.0547593,0.05948902,0.0670703,0.06494469,0.05874564,0.05723005,0.06186729,0.06897255,0.05867267,0.06346278,0.07319925,0.07454068,0.05536374,0.04711966,0.02326751,0.05192064,0.05678871,0.08452646,0.06608604,0.07510024,0.0745563,0.06712423,0.07484478,0.07204936,0.08268864,0.02854862,0.03572963,0.04170805
0.08125157,0.07347204,0.05313178,0.05781373,0.06546876,0.06355575,0.0571909,0.05547223,0.06014056,0.06713197,0.05707703,0.06206742,0.07146223,0.07297711,0.05381651,0.04596136,0.02234056,0.05060678,0.05546141,0.08277547,0.0643903,0.07359695,0.07284455,0.06555167,0.07313202,0.07040361,0.0807179,0.02751137,0.0347639,0.04040588
0.07922037,0.07175784,0.05151249,0.05613623,0.06387401,0.06219441,0.05566083,0.05377077,0.0584346,0.06530405,0.05549366,0.06068456,0.06974573,0.07142531,0.05228569,0.04481622,0.02143408,0.04931445,0.05413499,0.08104466,0.0627055,0.0721193,0.07113177,0.06399577,0.07142837,0.06876809,0.07875935,0.02650417,0.03380529,0.03913131
0.07717835,0.07006674,0.04990672,0.05446309,0.06226922,0.06085929,0.05415587,0.05212913,0.05674971,0.06348672,0.05391919,0.05931483,0.06805149,0.06988812,0.05077295,0.04368341,0.02054676,0.04804321,0.05280019,0.07933103,0.06103872,0.0706663,0.06941818,0.06245402,0.0697339,0.06714252,0.07681391,0.02553014,0.03285726,0.03789345
0.07511808,0.06839315,0.04831843,0.05280037,0.06064183,0.05954723,0.05267444,0.0505462,0.05508541,0.06167668,0.05234928,0.05795854,0.06637982,0.06836932,0.04927887,0.04256113,0.01967599,0.04679089,0.0514479,0.07762892,0.05939475,0.06923632,0.06770344,0.06092351,0.0680478,0.06552537,0.07488065,0.02459112,0.03192265,0.0366996
0.07303395,0.06673163,0.04675045,0.05115327,0.05898526,0.05825407,0.05121407,0.04901783,0.05344125,0.05987078,0.05078016,0.0566163,0.06473042,0.06687407,0.04780368,0.04144736,0.01881821,0.04555436,0.05007036,0.07593125,0.05777582,0.06782752,0.06598733,0.05940198,0.06636893,0.0639146,0.07295765,0.02368767,0.03100347,0.03555467
0.07092367,0.06507859,0.04520529,0.04952623,0.05729861,0.05697575,0.04977285,0.04753891,0.05181739,0.05806775,0.04921017,0.0552895,0.06310306,0.06540869,0.04634806,0.04034077,0.01796983,0.04433057,0.04866241,0.0742311,0.05618212,0.0664383,0.06427046,0.05788872,0.06469656,0.06230857,0.07104309,0.02281954,0.030101,0.03446107
