"wavenumber","intensity","File"
1766.476,0.08112293,"./Lazar_omnic_10.CSV_breakoff.csv"
1774.189,0.05375398,"./Lazar_omnic_10.CSV_breakoff.csv"
1781.903,0.03344889,"./Lazar_omnic_10.CSV_breakoff.csv"
1789.617,0.0140107,"./Lazar_omnic_10.CSV_breakoff.csv"
1797.331,0,"./Lazar_omnic_10.CSV_breakoff.csv"
802.2422,0.08857139,"./Lazar_omnic_11.CSV_breakoff.csv"
809.9561,0.0843687,"./Lazar_omnic_11.CSV_breakoff.csv"
817.6699,0.07038937,"./Lazar_omnic_11.CSV_breakoff.csv"
825.3838,0.05376427,"./Lazar_omnic_11.CSV_breakoff.csv"
833.0977,0.03635201,"./Lazar_omnic_11.CSV_breakoff.csv"
840.8115,0.02169573,"./Lazar_omnic_11.CSV_breakoff.csv"
848.5254,0.007367728,"./Lazar_omnic_11.CSV_breakoff.csv"
856.2393,0,"./Lazar_omnic_11.CSV_breakoff.csv"
863.9531,0.003702741,"./Lazar_omnic_11.CSV_breakoff.csv"
871.667,0.01520747,"./Lazar_omnic_11.CSV_breakoff.csv"
879.3809,0.0234092,"./Lazar_omnic_11.CSV_breakoff.csv"
887.0947,0.03463477,"./Lazar_omnic_11.CSV_breakoff.csv"
894.8086,0.05101418,"./Lazar_omnic_11.CSV_breakoff.csv"
902.5225,0.05738572,"./Lazar_omnic_11.CSV_breakoff.csv"
910.2363,0.0584727,"./Lazar_omnic_11.CSV_breakoff.csv"
917.9502,0.06898424,"./Lazar_omnic_11.CSV_breakoff.csv"
925.6641,0.08051055,"./Lazar_omnic_11.CSV_breakoff.csv"
933.3779,0.1057564,"./Lazar_omnic_11.CSV_breakoff.csv"
941.0918,0.1560002,"./Lazar_omnic_11.CSV_breakoff.csv"
948.8057,0.2213087,"./Lazar_omnic_11.CSV_breakoff.csv"
956.5195,0.2893388,"./Lazar_omnic_11.CSV_breakoff.csv"
964.2334,0.3622809,"./Lazar_omnic_11.CSV_breakoff.csv"
971.9473,0.4340208,"./Lazar_omnic_11.CSV_breakoff.csv"
979.6611,0.5000152,"./Lazar_omnic_11.CSV_breakoff.csv"
987.375,0.5535241,"./Lazar_omnic_11.CSV_breakoff.csv"
995.0889,0.6250506,"./Lazar_omnic_11.CSV_breakoff.csv"
1002.803,0.7168248,"./Lazar_omnic_11.CSV_breakoff.csv"
1010.517,0.8167434,"./Lazar_omnic_11.CSV_breakoff.csv"
1018.23,0.889646,"./Lazar_omnic_11.CSV_breakoff.csv"
1025.944,0.9530737,"./Lazar_omnic_11.CSV_breakoff.csv"
1033.658,0.9844918,"./Lazar_omnic_11.CSV_breakoff.csv"
1041.372,1,"./Lazar_omnic_11.CSV_breakoff.csv"
1049.086,0.9305832,"./Lazar_omnic_11.CSV_breakoff.csv"
1056.8,0.8518018,"./Lazar_omnic_11.CSV_breakoff.csv"
1064.514,0.8232251,"./Lazar_omnic_11.CSV_breakoff.csv"
1072.228,0.8121041,"./Lazar_omnic_11.CSV_breakoff.csv"
1079.941,0.7584825,"./Lazar_omnic_11.CSV_breakoff.csv"
1087.655,0.668174,"./Lazar_omnic_11.CSV_breakoff.csv"
1095.369,0.5690144,"./Lazar_omnic_11.CSV_breakoff.csv"
1103.083,0.4794401,"./Lazar_omnic_11.CSV_breakoff.csv"
1110.797,0.4165146,"./Lazar_omnic_11.CSV_breakoff.csv"
1118.511,0.372251,"./Lazar_omnic_11.CSV_breakoff.csv"
1126.225,0.3487299,"./Lazar_omnic_11.CSV_breakoff.csv"
1133.938,0.330356,"./Lazar_omnic_11.CSV_breakoff.csv"
1141.652,0.3207037,"./Lazar_omnic_11.CSV_breakoff.csv"
1149.366,0.3062929,"./Lazar_omnic_11.CSV_breakoff.csv"
1157.08,0.2530554,"./Lazar_omnic_11.CSV_breakoff.csv"
1164.794,0.1785394,"./Lazar_omnic_11.CSV_breakoff.csv"
1172.508,0.08961923,"./Lazar_omnic_11.CSV_breakoff.csv"
1180.222,0.02522385,"./Lazar_omnic_11.CSV_breakoff.csv"
1187.936,0,"./Lazar_omnic_11.CSV_breakoff.csv"
1195.649,0.01577115,"./Lazar_omnic_11.CSV_breakoff.csv"
1203.363,0.05919546,"./Lazar_omnic_11.CSV_breakoff.csv"
1211.077,0.1012668,"./Lazar_omnic_11.CSV_breakoff.csv"
1218.791,0.1391052,"./Lazar_omnic_11.CSV_breakoff.csv"
1226.505,0.1775077,"./Lazar_omnic_11.CSV_breakoff.csv"
